Country_Name,Year,fin1_t_a_1,fin1_t_a_2,fin18_t_d_1,fin18_t_d_2,FX_OWN_TOTL_FE_ZS,FX_OWN_TOTL_MA_ZS,IC_REG_COST_PC_FE_ZS,IC_REG_COST_PC_MA_ZS,IC_REG_DURS_FE,IC_REG_DURS_MA,IC_REG_PROC_FE,IC_REG_PROC_MA,NY_GDP_MKTP_CD,SG_CRT_TSTM_WT,SG_GEN_MNST_ZS,SG_GEN_PARL_ZS,SG_IND_WORK_EQ,SG_JOB_NOPN_EQ,SG_LAW_CHMR,SG_LAW_EQRM_WK,SG_LAW_LEVE_PU,SG_LAW_NODC_HR,SG_LAW_OBHB_MR,SG_LEG_DVAW,SG_LEG_MRRP,SG_LEG_SXHR,SG_LEG_SXHR_EM,SG_MMR_LEVE_EP,SG_OWN_PRRT_MR,SH_MMR_LEVE,SH_MMR_WAGE_ZS,SL_AGR_EMPL_FE_ZS,SL_AGR_EMPL_MA_ZS,SL_EMP_MPYR_FE_ZS,SL_EMP_MPYR_MA_ZS,SL_EMP_OWAC_FE_ZS,SL_EMP_OWAC_MA_ZS,SL_EMP_SELF_FE_ZS,SL_EMP_SELF_MA_ZS,SL_EMP_TOTL_SP_FE_ZS,SL_EMP_TOTL_SP_MA_ZS,SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_EMP_WORK_FE_ZS,SL_EMP_WORK_MA_ZS,SL_FAM_WORK_FE_ZS,SL_FAM_WORK_MA_ZS,SL_IND_EMPL_FE_ZS,SL_IND_EMPL_MA_ZS,SL_SRV_EMPL_FE_ZS,SL_SRV_EMPL_MA_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_FM_ZS,SL_TLF_CACT_MA_ZS,SL_TLF_TOTL_FE_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_POP_TOTL
Argentina,1999,..,..,..,..,..,..,..,..,..,..,..,..,283523000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.234999999403954,1.10099995136261,2.50999999046326,5.89300012588501,19.6159992218018,23.1900005340576,24.1439990997314,29.9699993133545,42.7799987792969,65.1660003662109,21.6349992752076,24.0760005116463,75.8560028076172,70.0299987792969,2.01900005340576,0.885999977588654,10.831000328064,32.7379989624023,88.9339981079102,66.161003112793,50.4199981689453,67.1156991111599,75.1240005493164,42.3255541069342,15.1520004272461,13.2550001144409,36467218
Argentina,2000,..,..,..,..,..,..,..,..,..,..,..,..,284203750000,..,..,26.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.236000001430511,0.978999972343445,2.97000002861023,6.06300020217896,18.7940006256104,23.6749992370605,23.5949993133545,30.4169998168945,42.1440010070801,64.6669998168945,20.6250005960465,24.3539992570877,76.4049987792969,69.5830001831055,1.8309999704361,0.679000020027161,10.3190002441406,31.5069999694824,89.4449996948242,67.5139999389648,50.382999420166,66.9835243344478,75.2170028686523,42.2897353806979,16.3530006408691,14.0260000228882,36870787
Argentina,2001,..,..,..,..,..,..,..,..,..,..,..,..,268696750000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.296999990940094,1.21700000762939,2.47000002861023,5.81599998474121,19.6509990692139,24.8320007324219,23.8780002593994,31.261999130249,41.4070014953613,62.1110000610352,21.4089990854264,25.4460007548332,76.1220016479492,68.7379989624023,1.75800001621246,0.614000022411346,10.4230003356934,30.3229999542236,89.2799987792969,68.4599990844727,50.0029983520508,66.4880428421244,75.2060012817383,42.1055827216185,17.1919994354248,17.4120006561279,37275652
Argentina,2002,..,..,..,..,..,..,..,..,..,..,..,..,97724004251.8602,..,..,30.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.472000002861023,1.34599995613098,1.91499996185303,5.09499979019165,18.3889999389648,27.0319995880127,21.8819999694824,32.9109992980957,39.6319999694824,59.9879989624023,19.9669998884201,27.8159995675087,78.1179962158203,67.088996887207,1.57799994945526,0.783999979496002,9.39700031280518,27.9050006866455,90.1320037841797,70.7490005493164,48.8230018615723,65.0089259510255,75.1019973754883,41.543682446659,18.8250007629395,20.125,37681749
Argentina,2003,..,..,..,..,..,..,13.5,13.5,65.5,65.5,13,13,127586973492.177,..,..,30.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.973999977111816,1.68599998950958,2.17799997329712,4.8439998626709,16.5659999847412,23.7849998474121,21.1989994049072,29.7490005493164,40.742000579834,64.9509963989258,19.0199999809265,24.9049998521805,78.8010025024414,70.2509994506836,2.4539999961853,1.12000000476837,11.1730003356934,28.9500007629395,87.8539962768555,69.3639984130859,49.4269981384277,65.5965482937646,75.3499984741211,41.7481812876484,17.5709991455078,13.8009996414185,38087868
Argentina,2004,..,..,..,..,..,..,17.3,17.3,29.5,29.5,13,13,164657930452.787,..,..,33.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.966000020503998,1.85599994659424,2.36899995803833,5.13299989700317,16.6079998016357,22.8020000457764,21.0030002593994,28.753999710083,42.1419982910156,66.6039962768555,18.6349997520446,23.6210000514984,78.9970016479492,71.2460021972656,2.02699995040894,0.819000005722046,10.7880001068115,30.7880001068115,88.2460021972656,67.3560028076172,50.060001373291,66.2248139457707,75.5910034179688,41.9623109829633,15.8170003890991,11.8889999389648,38491972
Argentina,2005,..,..,..,..,..,..,15.9,15.9,29.5,29.5,13,13,198737095012.282,..,8.3,36.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.718999981880188,1.65600001811981,2.24900007247925,5.13399982452393,16.5839996337891,22.7290000915527,20.5330009460449,28.4330005645752,42.7060012817383,68.0230026245117,18.2849996089936,23.3000000715255,79.4670028686523,71.5670013427734,1.70099997520447,0.570999979972839,10.6040000915527,31.798999786377,88.677001953125,66.5449981689453,49.4199981689453,65.3539401670821,75.6190032958984,41.6183971781402,13.5860004425049,10.0450000762939,38892931
Argentina,2006,..,..,..,..,..,..,15.4,15.4,29.5,29.5,13,13,232557260817.308,..,..,35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.486999988555908,1.43400001525879,2.36100006103516,5.27099990844727,15.7959995269775,21.621000289917,19.7709999084473,27.4589996337891,43.7350006103516,69.2880020141602,17.4099994897842,22.1880002617836,80.2289962768555,72.5410003662109,1.6139999628067,0.566999971866608,10.6040000915527,32.5349998474121,88.9089965820313,66.0309982299805,49.9379997253418,66.0075349033082,75.6549987792969,41.8423135310174,12.4200000762939,8.41600036621094,39289878
Argentina,2007,..,..,..,..,..,..,13.6,13.6,29.5,29.5,13,13,287530508430.568,..,..,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.418999999761581,1.59200000762939,2.55999994277954,5.74900007247925,15.0559997558594,20.3759994506836,19.07200050354,26.7240009307861,43.8349990844727,69.8470001220703,16.5119997262955,20.9759994745255,80.9280014038086,73.2760009765625,1.4559999704361,0.600000023841858,10.371000289917,32.9300003051758,89.2099990844727,65.4769973754883,49.0180015563965,65.2685724339935,75.1019973754883,41.5465591217308,10.5719995498657,6.99700021743774,39684295
Argentina,2008,..,..,..,..,..,..,12.8,12.8,30,30,14,14,361558037110.419,..,23.1,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.347000002861023,1.76199996471405,2.84999990463257,5.73999977111816,15.1190004348755,20.5669994354248,19.1840000152588,26.6940002441406,43.4300003051758,69.6800003051758,16.3340004682541,20.9539994299412,80.8160018920898,73.3059997558594,1.2150000333786,0.386999994516373,10.1660003662109,33.2939987182617,89.4869995117188,64.9440002441406,48.1189994812012,64.5571968636953,74.5370025634766,41.2577351097585,9.74300003051758,6.51700019836426,40080160
